ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	STRICTID	LOOSEID	COMMONID	AUTOMORPHEMES	SALIENTID
3880	Changsha	Xiang	tie	kʰuən⁴¹	kʰwən⁴¹	kʰ w ə n ⁴¹	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN3	2	2.K.C 2.W.C 2.E.V 2.N.c 2.3.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3881	Loudi	Xiang	tie	kʰun⁴²	kʰun⁴²	kʰ u n ⁴²	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN3	10	10.K.C 10.Y.V 10.N.c 10.3.T	1.6 3.0 1.1 1.0	0	886	545	1052	TIE	715
3882	Loudi	Xiang	tie	tsa¹³	tsa¹³	ts a ¹³	698	tie.up/扎	i n t		扎		2 7 8	AXT	CA2	10	10.C.C 10.A.V 10.2.T	1.6 3.0 1.0	0	888	547	1053	TIE	717
3883	Loudi	Xiang	tie	diɔ̃¹³	djɔ̃¹³	d j ɔ̃ ¹³	766	tie/?	i m n t		囗		1 6 7 8	ACXT	TJU2	10	10.T.C 10.J.C 10.U.V 10.2.T	1.6 1.2 3.0 1.0	0	890	549	1057	TIE	718
3884	Nanchang	Gan	tie	kʰun²¹³	kʰun²¹³	kʰ u n ²¹³	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN6	12	12.K.C 12.Y.V 12.N.c 12.6.T	1.6 3.0 1.1 1.0	1	886	545	1052	TIE	715
3885	Nanchang	Gan	tie	tsat⁵	tsat⁵	ts a t ⁵	698	tie.up/扎	i n c t		扎		2 7 1 8	AXLT	CAT6	12	12.C.C 12.A.V 12.T.c 12.6.T	1.6 3.0 1.1 1.0	0	888	547	1053	TIE	717
3886	Nanchang	Gan	tie	tʰiaʔ⁵	tʰjaʔ⁵	tʰ j a ʔ ⁵	767	tie/?	i m n c t		囗		1 6 7 1 8	ACXLT	TJAH6	12	12.T.C 12.J.C 12.A.V 12.H.c 12.6.T	1.6 1.2 3.0 1.1 1.0	0	891	550	1058	TIE	719
3887	Meixian	Hakka	tie	kʰun³¹	kʰun³¹	kʰ u n ³¹	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN3	11	11.K.C 11.Y.V 11.N.c 11.3.T	1.6 3.0 1.1 1.0	0	886	545	1052	TIE	715
3888	Guilin	Pinghua	tie	kʰuɤŋ²²	kʰwɤŋ²²	kʰ w ɤ ŋ ²²	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN1	6	6.K.C 6.W.C 6.E.V 6.N.c 6.1.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3889	Guangzhou	Yue	tie	kʰuɐn³⁵	kʰwɐn³⁵	kʰ w ɐ n ³⁵	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN2	5	5.K.C 5.W.C 5.E.V 5.N.c 5.2.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3890	Fuzhou	Min	tie	kʰuŋ³²	kʰuŋ³²	kʰ u ŋ ³²	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN3	4	4.K.C 4.Y.V 4.N.c 4.3.T	1.6 3.0 1.1 1.0	0	886	545	1052	TIE	715
3891	Fuzhou	Min	tie	tsaʔ²⁴*	tsaʔ²⁴	ts a ʔ ²⁴	698	tie.up/扎	i n c t		扎		2 7 1 8	AXLT	CAH2	4	4.C.C 4.A.V 4.H.c 4.2.T	1.6 3.0 1.1 1.0	1	888	547	1053	TIE	717
3892	Xiamen	Min	tie	kʰun⁵³	kʰun⁵³	kʰ u n ⁵³	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN3	19	19.K.C 19.Y.V 19.N.c 19.3.T	1.6 3.0 1.1 1.0	0	886	545	1052	TIE	715
3893	Xiamen	Min	tie	pak⁵	pak⁵	p a k ⁵	699	tie/縛	i n c t		縛		1 7 1 8	AXLT	PAK6	19	19.P.C 19.A.V 19.K.c 19.6.T	1.6 3.0 1.1 1.0	0	892	548	1056	TIE	720
644	Beijing	Mandarin	tongue	ʂɤ³⁵	ʂɤ³⁵	ʂ ɤ ³⁵	143	tongue/舌	i n t		舌		3 7 8	AXT	SE2	1	1.S.C 1.E.V 1.2.T	1.6 3.0 1.0	0	142	551	1059	TONGUE	120
