ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	TYPE	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
2268	Guangzhou	husband	s i n ⁵⁵ + s a ŋ ⁵³	first/先 born/生	A N	copulative_1 copulative_2	476 477	453	398	232	先生	先 生		丈夫	i n c t + i n c t	!!
2269	Fuzhou	husband	l a ²⁴² + u ŋ ⁵⁵	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + n c t	multisyllabic word
2270	Fuzhou	husband	t ou ŋ ⁵³ + m w o ⁵⁵	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n c t + i m n t	
2271	Xiamen	husband	t a ²² + p ɔ ⁵⁵ + l a ŋ ²⁴	husband/丈 man/夫 _person/人	N N N	(modifier head):modifier head	463 464 38	437	399	228	丈夫人	丈 夫 人		丈夫	i n t + i n t + i n c t	
4193	Beijing	man	n a n ³⁵ + ʐ ə n ³⁵	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n c t + i n c t	
4194	Ha_erbin	man	t a ⁵³ + l au ²¹³ + ɛ ²⁴ + m ə ⁰	big/大 old/老 father/爺 :PL/們	A A N S	modifier (prefix head):head modifier	34 27 242 195	584	497	272	大老爺們兒	大 老 爺 們		男人	i n t + i n t + n t + i n t	
4195	Ha_erbin	man	l au ²¹³ + j ɛ ²⁴ + m ə ⁰	old/老 father/爺 _:PL/們	A N S	(prefix head):head modifier	27 242 195	584	498	272	老爺們兒	老 爺 們		男人	i n t + m n t + i n t	
4196	Jinan	man	n æ̃ ⁵³ + ʐ ẽ ⁰	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n t	
4197	Rongcheng	man	n ɐ n ³⁵ + i n ⁰	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n c t + n c t	
4198	Taiyuan	man	n æ̃ ²¹ + z ə ŋ ²¹	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n c t	
4199	Xi_an	man	n æ̃ ²⁴ + ʐ ẽ ⁰	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n t	
4200	Chengdu	man	n a n ²¹ + z ə n ²¹	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n c t + i n c t	
4201	Chengdu	man	n a n ²¹ + n i ⁵⁵	male/男 _:GEN/的	A G	head genitive	471 40	580	394	271	男的	男 的		男人	i n c t + i n t	
4202	Nanjing	man	l ɑ̃ ¹³ + ʐ ə n ¹³	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n c t	
4203	Jixi	man	n ɔ ⁴⁴ + n ɤ ⁰	male/男 _person/仂	A N	modifier head	471 170	580	499	271	男仂	男 仂		男人	i n t + i n t	
4204	Suzhou	man	n ø ¹³ + ɲ i n ¹³	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n c t	
4205	Wenzhou	man	n ø ³⁴¹ + ts ɿ ²⁴² + kʰ a ⁴¹	male/男 _-child:SUF/子 guest/客	A S N	(head suffix):head modifier	471 19 46	580	500	271	男子客	男 子 客		男人	i n t + i n t + i n t	
4206	Changsha	man	l a n ¹³ + ʐ ə n ¹³	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n c t + i n c t	
4207	Changsha	man	l a n ¹³ + t i ⁰	male/男 _:GEN/的	A G	head genitive	471 40	580	394	271	男的	男 的		男人	i n c t + i n t	
4208	Changsha	man	l a n ¹³ + ʐ ə n ⁰ + k a ⁰	male/男 _person/人 _family/家	A N N	(modifier head):head suffix	471 38 42	580	501	271	男人家	男 人 家		男人	i n c t + i n c t + i n t	
4209	Loudi	man	n ã ¹³ + n i n ¹³ + k a ⁴⁴	male/男 _person/人 _family/家	A N N	(modifier head):head suffix	471 38 42	580	501	271	男人家	男 人 家		男人	i n t + i n c t + i n t	
4210	Nanchang	man	l a n ⁴⁵ + l ɨ n ⁰	male/男 _person/人	A N	head modifier	471 38	580	391	271	男人	男 人		男人	i n c t + i n c t	
4211	Meixian	man	n a m ¹¹ + m e ³³ + ŋ i n ¹¹	male/男 _:SUF/? _person/人	A S N	(modifier suffix): modifier head	471 38 820	580	502	271	男兒人	男 ? 人		男人	i n c t + i n t + i n c t	
4212	Guilin	man	l ã ²² + l i ŋ ²²	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n t + i n c t	
4213	Guangzhou	man	n a m ²¹ + l j ɐ n ²¹	male/男 _person/人	A N	modifier head	471 38	580	391	271	男人	男 人		男人	i n c t + i m n c t	nam²¹ iɐn²¹⁻³⁵
4214	Fuzhou	man	t ou ŋ ²¹² + m w o ³² + n øy ŋ ⁵³	husband/丈 man/夫 _person/人	N N N	(modifier head):modifier head	463 464 38	582	503	271	丈夫儂	丈 夫 儂		男人	i n c t + i m n t + i n c t	
4215	Fuzhou	man	n a ŋ ⁵³ + ŋ ai ²¹²	male/男 _domain/界	A N	modifier head	471 738	580	504	271	男界	男 界		男人	i n c t + i n t	
4216	Xiamen	man	t a ²² + p ɔ ⁵⁵ + l a ŋ ²⁴	husband/丈 man/夫 _person/人	N N N	(modifier head):modifier head	463 464 38	581	399	271	丈夫人	丈 夫 人		男人	i n t + i n t + i n c t	
2092	Beijing	moon	ɥ ɛ ⁵¹ + l j ɑ ŋ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2093	Ha_erbin	moon	ɥ ɛ ⁵³ + l j a ŋ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2094	Jinan	moon	ɥ ɤ ²¹ + l j ɑ ŋ ³¹	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2095	Rongcheng	moon	ɥ ɛ ³⁴ + l j a ŋ ³³⁴	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2096	Taiyuan	moon	ɥ ə ʔ ² + l j ɒ̃ ⁴⁵	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n c t + i m n t	
2097	Taiyuan	moon	ɥ ə ʔ + m i ⁰	moon/月 shine/明	N A	head modifier	410 412	611	521	278	月明～	月 明		月亮	i n c + i n t	
2098	Xi_an	moon	ɥ ɛ ²¹ + l j ɑ ŋ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2099	Chengdu	moon	ɥ e ²¹ + l j a ŋ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2100	Nanjing	moon	ɥ e ʔ ⁵ + l j ɑ̃ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n c t + i m n t	
2101	Jixi	moon	ɥ a ʔ ³² + ɲ j ɑ̃ ³¹	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n c t + i m n t	
2102	Suzhou	moon	ŋ ə ʔ ²³ + l j ã ²³¹	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n c t + i m n t	
2103	Wenzhou	moon	ɲ y ²¹ + k w ɔ ⁴⁴	moon/月 ray/光	N N	head modifier	410 413	611	522	278	月光	月 光		月亮	i n t + i m n t	
2104	Changsha	moon	ɥ e ²⁴ + l j a n ¹¹	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i n t + i m n c t	
2105	Changsha	moon	ɥ e ²⁴ + l j a n ¹¹ + p a ³³ + p a ⁰	moon/月 shine/亮 _-:suffix/巴 _-ba:RED/巴	N A S S	head modifier suffix suffix	410 411 309 778	611	523	278	月亮巴巴	月 亮 巴 巴		月亮	i n t + i m n c t + i n t + i n t	
2106	Loudi	moon	w e ³⁵ + k ɔ ŋ ⁴⁴	moon/月 ray/光	N N	head modifier	410 413	611	522	278	月光	月 光		月亮	i n t + i n c t	
2107	Nanchang	moon	ɲ ɥ o t ⁵ + l j ɔ ŋ ⁰	moon/月 shine/亮	N A	head modifier	410 411	611	522	278	月光	月 光		月亮	i m n c t + i m n c t	
2108	Meixian	moon	ŋ j a t ⁵ + k w o ŋ ³³	moon/月 ray/光	N N	head modifier	410 413	611	522	278	月光	月 光		月亮	i m n c t + i m n c t	
2109	Guilin	moon	l ɥ e ⁵⁵ + l j ɑ ŋ ²¹	moon/月 shine/亮	N A	head modifier	410 411	611	520	278	月亮	月 亮		月亮	i m n t + i m n c t	
2110	Guangzhou	moon	y t ² + k w ɔ ŋ ⁵⁵	moon/月 ray/光	N N	head modifier	410 413	611	522	278	月光	月 光		月亮	n c t + i m n c t	
2111	Fuzhou	moon	ŋ w o ʔ ⁵	moon/月	N	monosyllabic	410	611	524	278	月	月		月亮	i m n c t	
2112	Xiamen	moon	g e ʔ ⁵ + n j ũ ²⁴	moon/月 female/娘	N N	head modifier	410 31	611	525	278	月娘	月 娘		月亮	i n c t + i m n t	
1945	Beijing	swim	j ou ³⁵ + ʂ w ei ²¹³	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i m n t	
1946	Ha_erbin	swim	j ou ²⁴ + y ŋ ²¹³	wander/游 _swim/泳	V N	copulative_1 copulative_2	387 388	881	776	430	游泳	游 泳		游泳	i n t + n c t	
1947	Jinan	swim	j ou ⁵³ + y ŋ ⁴⁵	wander/游 _swim/泳	V N	copulative_1 copulative_2	387 388	881	776	430	游泳	游 泳		游泳	i n t + n c t	
1948	Rongcheng	swim	s i ²¹⁴ + ts au ²¹⁴	wash/洗 _wash/澡	V V	verb object	346 389	885	777	430	洗澡	洗 澡		游泳	i n t + i n t	
