ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
94	Xiamen	float	pʰu²⁴	pʰu²⁴	pʰ u ²⁴	pʰ u ²⁴	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
95	Beijing	smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	pʰ i ŋ ³⁵	even/平	A	25	809	710	387	平	平		平	i n c t	
96	Ha_erbin	smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	pʰ i ŋ ²⁴	even/平	A	25	809	710	387	平	平		平	i n c t	
97	Jinan	smooth	pʰiŋ⁵³	pʰiŋ⁵³	pʰ i ŋ ⁵³	pʰ i ŋ ⁵³	even/平	A	25	809	710	387	平	平		平	i n c t	
98	Rongcheng	smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	pʰ i ŋ ³⁵	even/平	A	25	809	710	387	平	平		平	i n c t	
99	Taiyuan	smooth	pʰiŋ²¹	pʰiŋ²¹	pʰ i ŋ ²¹	pʰ i ŋ ²¹	even/平	A	25	809	710	387	平	平		平	i n c t	
100	Xi_an	smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	pʰ i ŋ ²⁴	even/平	A	25	809	710	387	平	平		平	i n c t	
101	Chengdu	smooth	pʰin²¹	pʰin²¹	pʰ i n ²¹	pʰ i n ²¹	even/平	A	25	809	710	387	平	平		平	i n c t	
102	Nanjing	smooth	pʰin¹³	pʰin¹³	pʰ i n ¹³	pʰ i n ¹³	even/平	A	25	809	710	387	平	平		平	i n c t	
103	Jixi	smooth	pʰiɑ̃⁴⁴	pʰjɑ̃⁴⁴	pʰ j ɑ̃ ⁴⁴	pʰ i ɑ̃ ∼ ⁴⁴	even/平	A	25	809	710	387	平	平		平	i m n t	
104	Suzhou	smooth	bin¹³	bin¹³	b i n ¹³	b i n ¹³	even/平	A	25	809	710	387	平	平		平	i n c t	
105	Wenzhou	smooth	beŋ³⁴¹	beŋ³⁴¹	b e ŋ ³⁴¹	b e ŋ ³⁴¹	even/平	A	25	809	710	387	平	平		平	i n c t	
106	Changsha	smooth	pin¹³	pin¹³	p i n ¹³	p i n ¹³	even/平	A	25	809	710	387	平	平		平	i n c t	
107	Loudi	smooth	pʰiɔ¹³	pʰjɔ¹³	pʰ j ɔ ¹³	pʰ i ɔ ¹³	even/平	A	25	809	710	387	平	平		平	i m n t	
108	Nanchang	smooth	pʰin²⁴	pʰin²⁴	pʰ i n ²⁴	pʰ i n ²⁴	even/平	A	25	809	710	387	平	平		平	i n c t	
109	Meixian	smooth	pʰiaŋ¹¹	pʰjaŋ¹¹	pʰ j a ŋ ¹¹	pʰ i a ŋ ¹¹	even/平	A	25	809	710	387	平	平		平	i m n c t	
110	Guilin	smooth	pei²²	pei²²	p ei ²²	p e i ²²	even/平	A	25	809	710	387	平	平		平	i n t	
111	Guangzhou	smooth	pʰɛŋ²¹	pʰɛŋ²¹	pʰ ɛ ŋ ²¹	pʰ ɛ ŋ ²¹	even/平	A	25	809	710	387	平	平		平	i n c t	
112	Fuzhou	smooth	paŋ⁵³	paŋ⁵³	p a ŋ ⁵³	p a ŋ ⁵³	even/平	A	25	809	710	387	平	平		平	i n c t	
113	Xiamen	smooth	piæ²⁴	pjæ²⁴	p j æ ²⁴	p i æ ²⁴	even/平	A	25	809	710	387	平	平		平	i m n t	
114	Beijing	wife	tɕʰi⁵⁵ tsɿ⁰	tɕʰi⁵⁵+tsɿ⁰	tɕʰ i ⁵⁵ + ts ɿ ⁰	tɕʰ i ⁵⁵ + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
115	Ha_erbin	wife	lau²¹³⁻²¹ pʰɤ⁰	lau²¹³+pʰɤ⁰	l au ²¹³ + pʰ ɤ ⁰	l a u ²¹/²¹³ + pʰ ɤ ⁰	old/老 woman/婆	A N	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	
116	Ha_erbin	wife	ɕi²¹³⁻²¹ fur⁰	ɕi²¹³+fu⁰	ɕ i ²¹³ + f u ⁰	ɕ i ²¹/²¹³ + f u˞/u ⁰	wife/媳 wife/婦	N N	29 30	1099	939	523	媳婦兒	媳 婦		妻子	i n t + i n t	
117	Ha_erbin	wife	lau²¹³⁻²¹ niaŋ²⁴ mər⁰	lau²¹³+njaŋ²⁴+mə⁰	l au ²¹³ + n j a ŋ ²⁴ + m ə ⁰	l a u ²¹/²¹³ + n i a ŋ ²⁴ + m ə˞/ə ⁰	old/老 female/娘 :PL/們	A N S	27 31 195	1091	940	521	老娘们儿	老 娘 們		妻子	i n t + i m n c t + i n t	
118	Jinan	wife	tɕʰi²¹³⁻²¹ tsɿ⁰	tɕʰi²¹³+tsɿ⁰	tɕʰ i ²¹³ + ts ɿ ⁰	tɕʰ i ²¹/²¹³ + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
119	Rongcheng	wife	lau²¹³ pʰə⁰	lau²¹³+pʰə⁰	l au ²¹³ + pʰ ə ⁰	l a u ²¹³ + pʰ ə ⁰	old/老 woman/婆	A N	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	
120	Taiyuan	wife	lau⁵³ pʰɤ²¹	lau⁵³+pʰɤ²¹	l au ⁵³ + pʰ ɤ ²¹	l a u ⁵³ + pʰ ɤ ²¹	old/老 woman/婆	A N	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	
121	Xi_an	wife	ɕi²¹ fur⁰	ɕi²¹+fu⁰	ɕ i ²¹ + f u ⁰	ɕ i ²¹ + f u˞/u ⁰	wife/媳 wife/婦	N N	29 30	1099	939	523	媳婦兒(年輕時稱)	媳 婦	年輕時稱	妻子	i n t + i n t	
122	Xi_an	wife	pʰo²⁴ niɑŋ⁰	pʰo²⁴+njɑŋ⁰	pʰ o ²⁴ + n j ɑ ŋ ⁰	pʰ o ²⁴ + n i ɑ ŋ ⁰	woman/婆 female/娘	N N	28 31	1092	941	521	婆娘(中老年時稱)	婆 娘	中老年時稱	妻子	i n t + i m n c t	
