ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
845	Guangzhou	bark	sy²² pʰei²¹	sy²²+pʰei²¹	s y ²² + pʰ ei ²¹	s y ²² + pʰ e i ²¹	BARK bark	184 16	33	30	22	樹皮	樹 皮		樹皮	i n t + i n N t	
846	Fuzhou	bark	tsʰieu²¹²⁻⁵⁵ pʰuoi⁵³	tsʰjeu²¹²+pʰwoi⁵³	tsʰ j eu ²¹² + pʰ w oi ⁵³	tsʰ i e u ⁵⁵/²¹² + pʰ u o i ⁵³	BARK bark	184 16	33	30	22	樹皮	樹 皮		樹皮	i m n N t + i m n N t	
847	Xiamen	bark	tsʰiu²²⁻²¹ pʰe²⁴	tsʰju²²+pʰe²⁴	tsʰ j u ²² + pʰ e ²⁴	tsʰ i u ²¹/²² + pʰ e ²⁴	BARK bark	184 16	33	30	22	樹皮	樹 皮		樹皮	i m n t + i n t	
848	Beijing	count [noun]	ʂu⁵¹	ʂu⁵¹	ʂ u ⁵¹	ʂ u ⁵¹	COUNT	185	112	113	55	數	數		數[名]	i n t	
849	Ha_erbin	count [noun]	ʂur⁵³	ʂu⁵³	ʂ u ⁵³	ʂ u˞/u ⁵³	COUNT	185	112	113	55	數	數		數[名]	i nr t	
850	Jinan	count [noun]	ʂu²¹	ʂu²¹	ʂ u ²¹	ʂ u ²¹	COUNT	185	112	113	55	數	數		數[名]	i n t	
851	Rongcheng	count [noun]	ʃu³³⁴	ʃu³³⁴	ʃ u ³³⁴	ʃ u ³³⁴	COUNT	185	112	113	55	數	數		數[名]	i n t	
852	Taiyuan	count [noun]	su⁴⁵	su⁴⁵	s u ⁴⁵	s u ⁴⁵	COUNT	185	112	113	55	數	數		數[名]	i n t	
853	Xi_an	count [noun]	sou⁴⁴	sou⁴⁴	s ou ⁴⁴	s o u ⁴⁴	COUNT	185	112	113	55	數	數		數[名]	i n N t	
854	Chengdu	count [noun]	su²¹³	su²¹³	s u ²¹³	s u ²¹³	COUNT	185	112	113	55	數	數		數[名]	i n t	
855	Nanjing	count [noun]	su⁴⁴	su⁴⁴	s u ⁴⁴	s u ⁴⁴	COUNT	185	112	113	55	數	數		數[名]	i n t	
856	Jixi	count [noun]	su³⁵	su³⁵	s u ³⁵	s u ³⁵	COUNT	185	112	113	55	數	數		數[名]	i n t	
857	Suzhou	count [noun]	səu⁴¹²	səu⁴¹²	s əu ⁴¹²	s ə u ⁴¹²	COUNT	185	112	113	55	數	數		數[名]	i n N t	
858	Wenzhou	count [noun]	sɤu⁵¹	sɤu⁵¹	s ɤu ⁵¹	s ɤ u ⁵¹	COUNT	185	112	113	55	數	數		數[名]	i n N t	
859	Changsha	count [noun]	səu⁵⁵	səu⁵⁵	s əu ⁵⁵	s ə u ⁵⁵	COUNT	185	112	113	55	數	數		數[名]	i n N t	
860	Loudi	count [noun]	sɤu³⁵	sɤu³⁵	s ɤu ³⁵	s ɤ u ³⁵	COUNT	185	112	113	55	數	數		數[名]	i n N t	
861	Nanchang	count [noun]	su⁴⁵	su⁴⁵	s u ⁴⁵	s u ⁴⁵	COUNT	185	112	113	55	數	數		數[名]	i n t	
862	Meixian	count [noun]	sɿ⁵³	sɿ⁵³	s ɿ ⁵³	s ɿ ⁵³	COUNT	185	112	113	55	數<no noun/verb distinction>	數	no noun/verb distinction	數[名]	i n t	
863	Guilin	count [noun]	su²⁵	su²⁵	s u ²⁵	s u ²⁵	COUNT	185	112	113	55	數<no noun/verb distinction>	數	no noun/verb distinction	數[名]	i n t	
864	Guangzhou	count [noun]	sou³³	sou³³	s ou ³³	s o u ³³	COUNT	185	112	113	55	數	數		數[名]	i n N t	
865	Fuzhou	count [noun]	sou²¹²	sou²¹²	s ou ²¹²	s o u ²¹²	COUNT	185	112	113	55	數<no noun/verb distinction>	數	no noun/verb distinction	數[名]	i n N t	
866	Xiamen	count [noun]	sɔ²¹	sɔ²¹	s ɔ ²¹	s ɔ ²¹	COUNT	185	112	113	55	數<no noun/verb distinction>	數	no noun/verb distinction	數[名]	i n t	
867	Beijing	count [verb]	ʂu²¹³	ʂu²¹³	ʂ u ²¹³	ʂ u ²¹³	COUNT	185	113	113	56	數	數		數[動]	i n t	
868	Ha_erbin	count [verb]	ʂu²¹³	ʂu²¹³	ʂ u ²¹³	ʂ u ²¹³	COUNT	185	113	113	56	數	數		數[動]	i n t	
869	Jinan	count [verb]	ʂu⁴⁵	ʂu⁴⁵	ʂ u ⁴⁵	ʂ u ⁴⁵	COUNT	185	113	113	56	數	數		數[動]	i n t	
870	Rongcheng	count [verb]	ʃu³³⁴	ʃu³³⁴	ʃ u ³³⁴	ʃ u ³³⁴	COUNT	185	113	113	56	數	數		數[動]	i n t	
871	Taiyuan	count [verb]	su⁵³	su⁵³	s u ⁵³	s u ⁵³	COUNT	185	113	113	56	數	數		數[動]	i n t	
872	Xi_an	count [verb]	sou⁵³	sou⁵³	s ou ⁵³	s o u ⁵³	COUNT	185	113	113	56	數	數		數[動]	i n N t	
873	Chengdu	count [verb]	su⁵³	su⁵³	s u ⁵³	s u ⁵³	COUNT	185	113	113	56	數	數		數[動]	i n t	
874	Nanjing	count [verb]	su¹¹	su¹¹	s u ¹¹	s u ¹¹	COUNT	185	113	113	56	數	數		數[動]	i n t	
875	Jixi	count [verb]	su²¹³	su²¹³	s u ²¹³	s u ²¹³	COUNT	185	113	113	56	數	數		數[動]	i n t	
876	Suzhou	count [verb]	səu⁵²	səu⁵²	s əu ⁵²	s ə u ⁵²	COUNT	185	113	113	56	數	數		數[動]	i n N t	
877	Wenzhou	count [verb]	ti²⁴	ti²⁴	t i ²⁴	t i ²⁴	COUNT	186	114	114	57	點	點		數[動]	i n t	
878	Changsha	count [verb]	səu⁴¹	səu⁴¹	s əu ⁴¹	s ə u ⁴¹	COUNT	185	113	113	56	數	數		數[動]	i n N t	
879	Loudi	count [verb]	sɤu⁴²	sɤu⁴²	s ɤu ⁴²	s ɤ u ⁴²	COUNT	185	113	113	56	數	數		數[動]	i n N t	
880	Nanchang	count [verb]	su²¹³	su²¹³	s u ²¹³	s u ²¹³	COUNT	185	113	113	56	數	數		數[動]	i n t	
881	Meixian	count [verb]	sɿ⁵³	sɿ⁵³	s ɿ ⁵³	s ɿ ⁵³	COUNT	185	113	113	56	數<no noun/verb distinction>	數	no noun/verb distinction	數[動]	i n t	
882	Guilin	count [verb]	su²⁵	su²⁵	s u ²⁵	s u ²⁵	COUNT	185	113	113	56	數<no noun/verb distinction>	數	no noun/verb distinction	數[動]	i n t	
883	Guangzhou	count [verb]	sou³⁵	sou³⁵	s ou ³⁵	s o u ³⁵	COUNT	185	113	113	56	數	數		數[動]	i n N t	
884	Fuzhou	count [verb]	sou²¹²	sou²¹²	s ou ²¹²	s o u ²¹²	COUNT	185	113	113	56	數<no noun/verb distinction>	數	no noun/verb distinction	數[動]	i n N t	
885	Xiamen	count [verb]	sɔ²¹	sɔ²¹	s ɔ ²¹	s ɔ ²¹	COUNT	185	113	113	56	數<no noun/verb distinction>	數	no noun/verb distinction	數[動]	i n t	
886	Beijing	who	ʂəi³⁵	ʂəi³⁵	ʂ əi ³⁵	ʂ ə i ³⁵	WHO	187	1077	927	516	誰	誰		誰	i n N t	
887	Ha_erbin	who	ʂuei²⁴	ʂwei²⁴	ʂ w ei ²⁴	ʂ u e i ²⁴	WHO	187	1077	927	516	誰	誰		誰	i m n N t	
888	Jinan	who	ʂei⁵³	ʂei⁵³	ʂ ei ⁵³	ʂ e i ⁵³	WHO	187	1077	927	516	誰	誰		誰	i n N t	
889	Rongcheng	who	ʃuɛ³⁵	ʃwɛ³⁵	ʃ w ɛ ³⁵	ʃ u ɛ ³⁵	WHO	187	1077	927	516	誰	誰		誰	i m n t	
890	Taiyuan	who	suei²¹	swei²¹	s w ei ²¹	s u e i ²¹	WHO	187	1077	927	516	誰	誰		誰	i m n N t	
891	Xi_an	who	sei²⁴	sei²⁴	s ei ²⁴	s e i ²⁴	WHO	187	1077	927	516	誰	誰		誰	i n N t	
892	Chengdu	who	na⁵³⁻⁴⁵ ko²¹³⁻²¹	na⁵³+ko²¹³	n a ⁵³ + k o ²¹³	n a ⁴⁵/⁵³ + k o ²¹/²¹³	who WHO	188 56	1078	928	517	哪個	哪 個		誰	i n t + i n t	
893	Nanjing	who	lɑ¹¹⁻²² ko⁴⁴⁻²²	lɑ¹¹+ko⁴⁴	l ɑ ¹¹ + k o ⁴⁴	l ɑ ²²/¹¹ + k o ²²/⁴⁴	who WHO	188 56	1078	928	517	哪個	哪 個		誰	i n t + i n t	
894	Jixi	who	na²¹³⁻³¹ kɵ³⁵	na²¹³+kɵ³⁵	n a ²¹³ + k ɵ ³⁵	n a ³¹/²¹³ + k ɵ ³⁵	who WHO	188 56	1078	928	517	哪個	哪 個		誰	i n t + i n t	
895	Suzhou	who	sɑ⁴¹²⁻⁴¹ ȵin¹³⁻²¹	sɑ⁴¹²+ɲin¹³	s ɑ ⁴¹² + ɲ i n ¹³	s ɑ ⁴¹/⁴¹² + ɲ i n ²¹/¹³	who WHO	168 38	1080	929	517	啥人	啥 人		誰	i n t + i n c t	
896	Wenzhou	who	a⁴¹⁻³ ȵi³⁴¹⁻⁴² naŋ³⁴¹⁻²¹	a⁴¹+ɲi³⁴¹+naŋ³⁴¹	a ⁴¹ + ɲ i ³⁴¹ + n a ŋ ³⁴¹	a ³/⁴¹ + ɲ i ⁴²/³⁴¹ + n a ŋ ²¹/³⁴¹	who who WHO	171 172 38	1080	930	517	何呢人	何 呢 人		誰	n t + i n t + i n c t	
897	Changsha	who	sei¹³	sei¹³	s ei ¹³	s e i ¹³	WHO	187	1077	927	516	誰	誰		誰	i n N t	
898	Changsha	who	o¹³ tsɿ⁵⁵ ko⁵⁵	o¹³+tsɿ⁵⁵+ko⁵⁵	o ¹³ + ts ɿ ⁵⁵ + k o ⁵⁵	o ¹³ + ts ɿ ⁵⁵ + k o ⁵⁵	who who WHO	171 189 56	1078	931	517	何至個	何 至 個		誰	n t + i n t + i n t	
899	Loudi	who	sui¹³	swi¹³	s w i ¹³	s u i ¹³	WHO	187	1077	927	516	誰	誰		誰	i m n t	
900	Nanchang	who	lai²¹³⁻²⁴ ko²¹	lai²¹³+ko²¹	l ai ²¹³ + k o ²¹	l a i ²⁴/²¹³ + k o ²¹	who WHO	188 56	1078	928	517	哪個	哪 個		誰	i n N t + i n t	
901	Meixian	who	man³¹ ŋin¹¹	man³¹+ŋin¹¹	m a n ³¹ + ŋ i n ¹¹	m a n ³¹ + ŋ i n ¹¹	who WHO	190 38	1080	932	517	瞞～人	瞞 人		誰	i n c t + i n c t	
902	Guilin	who	lᴀ²³ kuo³³	la̠²³+kwo³³	l a̠ ²³ + k w o ³³	l a̠ ²³ + k u o ³³	who WHO	188 56	1078	928	517	哪個	哪 個		誰	i n t + i m n t	
903	Guangzhou	who	søy²¹	søy²¹	s øy ²¹	s ø y ²¹	WHO	187	1077	927	516	誰	誰		誰	i n N t	
904	Fuzhou	who	tie³²⁻⁵³ ʒieʔ²⁴*	tje³²+ʒjeʔ²⁴	t j e ³² + ʒ j e ʔ ²⁴	t i e ⁵³/³² + ʒ i e ʔ */²⁴	WHO who	191 192	1081	933	518	底隹+又	底 隹又		誰	i m n t + i m n c t	
905	Fuzhou	who	tie³² nøyŋ⁵³	tje³²+nøyŋ⁵³	t j e ³² + n øy ŋ ⁵³	t i e ³² + n ø y ŋ ⁵³	WHO who	191 193	1081	934	518	底儂	底 儂		誰	i m n t + i n N c t	
906	Xiamen	who	siã⁵³⁻⁵⁵ laŋ²⁴	sjã⁵³+laŋ²⁴	s j ã ⁵³ + l a ŋ ²⁴	s i ã ∼ ⁵⁵/⁵³ + l a ŋ ²⁴	who WHO	168 38	1080	929	517	啥人	啥 人		誰	i m n c t + i n c t	
907	Beijing	water	ʂuei²¹³	ʂwei²¹³	ʂ w ei ²¹³	ʂ u e i ²¹³	WATER	194	1013	880	495	水	水		水	i m n N t	
908	Ha_erbin	water	ʂuei²¹³	ʂwei²¹³	ʂ w ei ²¹³	ʂ u e i ²¹³	WATER	194	1013	880	495	水	水		水	i m n N t	
909	Jinan	water	ʂuei⁴⁵	ʂwei⁴⁵	ʂ w ei ⁴⁵	ʂ u e i ⁴⁵	WATER	194	1013	880	495	水	水		水	i m n N t	
910	Rongcheng	water	ʂuei²¹³	ʂwei²¹³	ʂ w ei ²¹³	ʂ u e i ²¹³	WATER	194	1013	880	495	水	水		水	i m n N t	
911	Taiyuan	water	suei⁵³	swei⁵³	s w ei ⁵³	s u e i ⁵³	WATER	194	1013	880	495	水	水		水	i m n N t	
912	Xi_an	water	fei⁵³	fei⁵³	f ei ⁵³	f e i ⁵³	WATER	194	1013	880	495	水	水		水	i n N t	
913	Chengdu	water	suei⁵³	swei⁵³	s w ei ⁵³	s u e i ⁵³	WATER	194	1013	880	495	水	水		水	i m n N t	
914	Nanjing	water	suei¹¹	swei¹¹	s w ei ¹¹	s u e i ¹¹	WATER	194	1013	880	495	水	水		水	i m n N t	
915	Jixi	water	ɕy²¹³	ɕy²¹³	ɕ y ²¹³	ɕ y ²¹³	WATER	194	1013	880	495	水	水		水	i n t	
916	Suzhou	water	sʯ⁵²	sʯ⁵²	s ʯ ⁵²	s ʯ ⁵²	WATER	194	1013	880	495	水	水		水	i n t	
917	Wenzhou	water	sɿ²⁴	sɿ²⁴	s ɿ ²⁴	s ɿ ²⁴	WATER	194	1013	880	495	水	水		水	i n t	
918	Changsha	water	ɕyei⁴¹	ɕɥei⁴¹	ɕ ɥ ei ⁴¹	ɕ y e i ⁴¹	WATER	194	1013	880	495	水	水		水	i m n N t	
919	Loudi	water	ɕy⁴²	ɕy⁴²	ɕ y ⁴²	ɕ y ⁴²	WATER	194	1013	880	495	水	水		水	i n t	
920	Nanchang	water	sui²¹³	swi²¹³	s w i ²¹³	s u i ²¹³	WATER	194	1013	880	495	水	水		水	i m n t	
921	Meixian	water	sui³¹	swi³¹	s w i ³¹	s u i ³¹	WATER	194	1013	880	495	水	水		水	i m n t	
922	Guilin	water	suei²³	swei²³	s w ei ²³	s u e i ²³	WATER	194	1013	880	495	水	水		水	i m n N t	
923	Guangzhou	water	søy³⁵	søy³⁵	s øy ³⁵	s ø y ³⁵	WATER	194	1013	880	495	水	水		水	i n N t	
924	Fuzhou	water	tsuoi³²	tswoi³²	ts w oi ³²	ts u o i ³²	WATER	194	1013	880	495	水	水		水	i m n N t	
925	Xiamen	water	tsui⁵³	tswi⁵³	ts w i ⁵³	ts u i ⁵³	WATER	194	1013	880	495	水	水		水	i m n t	
926	Beijing	fruit	ʂuei²¹⁴⁻³⁵ kuo²¹³	ʂwei²¹⁴+kwo²¹³	ʂ w ei ²¹⁴ + k w o ²¹³	ʂ u e i ³⁵/²¹⁴ + k u o ²¹³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i m n t	
927	Ha_erbin	fruit	ʂuei²¹³⁻²⁴ kuor²¹³	ʂwei²¹³+kwo²¹³	ʂ w ei ²¹³ + k w o ²¹³	ʂ u e i ²⁴/²¹³ + k u o˞/o ²¹³	_fruit FRUIT	194 114	300	277	164	水果兒	水 果		水果	i m n N t + i m nr t	
928	Jinan	fruit	ʂuei⁴⁵⁻⁵³ kuɤ⁴⁵	ʂwei⁴⁵+kwɤ⁴⁵	ʂ w ei ⁴⁵ + k w ɤ ⁴⁵	ʂ u e i ⁵³/⁴⁵ + k u ɤ ⁴⁵	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i m n t	
929	Rongcheng	fruit	kɔr²¹³ mən⁰	kɔ²¹³+mən⁰	k ɔ ²¹³ + m ə n ⁰	k ɔ˞/ɔ ²¹³ + m ə n ⁰	FRUIT _fruit	114 195	300	278	164	果兒們	果 們		水果	i nr t + i n c t	
930	Taiyuan	fruit	suei⁵³⁻²¹ kuo⁵³	swei⁵³+kwo⁵³	s w ei ⁵³ + k w o ⁵³	s u e i ²¹/⁵³ + k u o ⁵³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i m n t	
931	Xi_an	fruit	fei⁵³ kuo⁰	fei⁵³+kwo⁰	f ei ⁵³ + k w o ⁰	f e i ⁵³ + k u o ⁰	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i n N t + i m n t	
932	Chengdu	fruit	suei⁵³⁻⁵⁵ ko⁵³	swei⁵³+ko⁵³	s w ei ⁵³ + k o ⁵³	s u e i ⁵⁵/⁵³ + k o ⁵³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i n t	
933	Nanjing	fruit	suei¹¹⁻¹² ko¹¹	swei¹¹+ko¹¹	s w ei ¹¹ + k o ¹¹	s u e i ¹²/¹¹ + k o ¹¹	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i n t	
934	Jixi	fruit	ɕy²¹³⁻³¹ kɵ²¹³	ɕy²¹³+kɵ²¹³	ɕ y ²¹³ + k ɵ ²¹³	ɕ y ³¹/²¹³ + k ɵ ²¹³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i n t + i n t	
935	Suzhou	fruit	sʯ⁵²⁻⁴¹ kəu⁵²⁻²³	sʯ⁵²+kəu⁵²	s ʯ ⁵² + k əu ⁵²	s ʯ ⁴¹/⁵² + k ə u ²³/⁵²	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i n t + i n N t	
936	Wenzhou	fruit	sɿ²⁴⁻⁵³ ku²⁴²⁻²³	sɿ²⁴+ku²⁴²	s ɿ ²⁴ + k u ²⁴²	s ɿ ⁵³/²⁴ + k u ²³/²⁴²	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i n t + i n t	
937	Changsha	fruit	ɕyei⁴¹ ko⁴¹	ɕɥei⁴¹+ko⁴¹	ɕ ɥ ei ⁴¹ + k o ⁴¹	ɕ y e i ⁴¹ + k o ⁴¹	_water FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i n t	
938	Loudi	fruit	ko⁴² tsɿ⁰	ko⁴²+tsɿ⁰	k o ⁴² + ts ɿ ⁰	k o ⁴² + ts ɿ ⁰	FRUIT _fruit	114 19	300	279	164	果子	果 子		水果	i n t + i n t	
939	Nanchang	fruit	sui²¹³⁻⁴⁴ kuo²¹³	swi²¹³+kwo²¹³	s w i ²¹³ + k w o ²¹³	s u i ⁴⁴/²¹³ + k u o ²¹³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n t + i m n t	
940	Meixian	fruit	sui³¹⁻³³ kuo³¹	swi³¹+kwo³¹	s w i ³¹ + k w o ³¹	s u i ³³/³¹ + k u o ³¹	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n t + i m n t	
941	Guilin	fruit	suei²³ kuo²³⁻²²	swei²³+kwo²³	s w ei ²³ + k w o ²³	s u e i ²³ + k u o ²²/²³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n N t + i m n t	
942	Guangzhou	fruit	søy³⁵ kyɔ³⁵	søy³⁵+kɥɔ³⁵	s øy ³⁵ + k ɥ ɔ ³⁵	s ø y ³⁵ + k y ɔ ³⁵	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i n N t + i m n t	
943	Fuzhou	fruit	kuo³²⁻³⁵ ʒi³²	kwo³²+ʒi³²	k w o ³² + ʒ i ³²	k u o ³⁵/³² + ʒ i ³²	FRUIT _fruit	114 19	300	279	164	果子	果 子		水果	i m n t + i n t	
944	Xiamen	fruit	tsui⁵³⁻⁵⁵ ko⁵³	tswi⁵³+ko⁵³	ts w i ⁵³ + k o ⁵³	ts u i ⁵⁵/⁵³ + k o ⁵³	_fruit FRUIT	194 114	300	277	164	水果	水 果		水果	i m n t + i n t	
945	Beijing	sleep	ʂuei⁵¹	ʂwei⁵¹	ʂ w ei ⁵¹	ʂ u e i ⁵¹	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
946	Ha_erbin	sleep	ʂuei⁵³	ʂwei⁵³	ʂ w ei ⁵³	ʂ u e i ⁵³	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
947	Jinan	sleep	ʂuei³¹	ʂwei³¹	ʂ w ei ³¹	ʂ u e i ³¹	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
948	Rongcheng	sleep	ʂuei³³⁴	ʂwei³³⁴	ʂ w ei ³³⁴	ʂ u e i ³³⁴	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
949	Taiyuan	sleep	suei⁴⁵	swei⁴⁵	s w ei ⁴⁵	s u e i ⁴⁵	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
950	Xi_an	sleep	fei⁴⁴	fei⁴⁴	f ei ⁴⁴	f e i ⁴⁴	SLEEP	196	798	470	377	睡	睡		睡	i n N t	
951	Chengdu	sleep	suei²¹³	swei²¹³	s w ei ²¹³	s u e i ²¹³	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
952	Nanjing	sleep	suei⁴⁴	swei⁴⁴	s w ei ⁴⁴	s u e i ⁴⁴	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
953	Jixi	sleep	kʰuɑ̃³⁵	kʰwɑ̃³⁵	kʰ w ɑ̃ ³⁵	kʰ u ɑ̃ ∼ ³⁵	SLEEP	197	799	474	378	睏	睏		睡	i m n c t	
954	Suzhou	sleep	kʰuən⁴¹²	kʰwən⁴¹²	kʰ w ə n ⁴¹²	kʰ u ə n ⁴¹²	SLEEP	197	799	474	378	睏	睏		睡	i m n c t	
955	Wenzhou	sleep	kʰy⁵¹	kʰy⁵¹	kʰ y ⁵¹	kʰ y ⁵¹	SLEEP	197	799	474	378	睏	睏		睡	i n t	
956	Changsha	sleep	ɕyei¹¹	ɕɥei¹¹	ɕ ɥ ei ¹¹	ɕ y e i ¹¹	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
957	Changsha	sleep	kʰuən⁵⁵	kʰwən⁵⁵	kʰ w ə n ⁵⁵	kʰ u ə n ⁵⁵	SLEEP	197	799	474	378	睏	睏		睡	i m n c t	
958	Loudi	sleep	kʰun³⁵	kʰun³⁵	kʰ u n ³⁵	kʰ u n ³⁵	SLEEP	197	799	474	378	睏	睏		睡	i n c t	
959	Nanchang	sleep	kʰun²¹³	kʰun²¹³	kʰ u n ²¹³	kʰ u n ²¹³	SLEEP	197	799	474	378	睏	睏		睡	i n c t	
960	Meixian	sleep	soi⁵³	soi⁵³	s oi ⁵³	s o i ⁵³	SLEEP	196	798	470	377	睡	睡		睡	i n N t	
961	Guilin	sleep	suei²¹	swei²¹	s w ei ²¹	s u e i ²¹	SLEEP	196	798	470	377	睡	睡		睡	i m n N t	
962	Guangzhou	sleep	søy²²	søy²²	s øy ²²	s ø y ²²	SLEEP	196	798	470	377	睡	睡		睡	i n N t	
963	Fuzhou	sleep	kʰɔuŋ²¹²	kʰɔuŋ²¹²	kʰ ɔu ŋ ²¹²	kʰ ɔ u ŋ ²¹²	SLEEP	197	799	474	378	睏	睏		睡	i n N c t	
964	Xiamen	sleep	kʰun²¹	kʰun²¹	kʰ u n ²¹	kʰ u n ²¹	SLEEP	197	799	474	378	睏	睏		睡	i n c t	
965	Beijing	suck	ɕi⁵⁵	ɕi⁵⁵	ɕ i ⁵⁵	ɕ i ⁵⁵	SUCK	198	863	760	417	吸	吸		吮	i n t	
966	Ha_erbin	suck	kuo²¹³	kwo²¹³	k w o ²¹³	k u o ²¹³	SUCK	199	868	761	422	裹	裹		吮	i m n t	
967	Jinan	suck	ʂuẽ⁵³	ʂwẽ⁵³	ʂ w ẽ ⁵³	ʂ u ẽ ∼ ⁵³	SUCK	200	865	762	421	吮	吮		吮	i m n c t	
968	Rongcheng	suck	çy²¹⁴	çy²¹⁴	ç y ²¹⁴	ç y ²¹⁴	SUCK	200	865	762	421	吮	吮		吮	i n t	
969	Taiyuan	suck	ɕiəʔ²	ɕjəʔ²	ɕ j ə ʔ ²	ɕ i ə ʔ ²	SUCK	198	863	760	417	吸	吸		吮	i m n c t	
970	Xi_an	suck	ɕi²¹	ɕi²¹	ɕ i ²¹	ɕ i ²¹	SUCK	198	863	760	417	吸	吸		吮	i n t	
971	Chengdu	suck	tɕy²¹	tɕy²¹	tɕ y ²¹	tɕ y ²¹	SUCK	201	867	763	419	卒+欠	㰵		吮	i n t	
972	Nanjing	suck	soʔ⁵	soʔ⁵	s o ʔ ⁵	s o ʔ ⁵	SUCK	202	864	764	420	嗍	嗍		吮	i n c t	
973	Jixi	suck	soʔ³²*	soʔ³²	s o ʔ ³²	s o ʔ ³²*/³²	SUCK	202	864	764	420	嗍	嗍		吮	i n c t	
974	Suzhou	suck	həu⁴⁴	həu⁴⁴	h əu ⁴⁴	h ə u ⁴⁴	SUCK	203	870	765	424	呼～	呼		吮	i n N t	
975	Suzhou	suck	soʔ⁴	soʔ⁴	s o ʔ ⁴	s o ʔ ⁴	SUCK	202	864	764	420	嗍	嗍		吮	i n c t	
976	Wenzhou	suck	tɕy⁴¹	tɕy⁴¹	tɕ y ⁴¹	tɕ y ⁴¹	SUCK	201	867	763	419	卒+欠	㰵		吮	i n t	
977	Wenzhou	suck	ɕiai⁴¹	ɕjai⁴¹	ɕ j ai ⁴¹	ɕ i a i ⁴¹	SUCK	198	863	760	417	吸	吸		吮	i m n N t	
978	Changsha	suck	tɕin³³	tɕin³³	tɕ i n ³³	tɕ i n ³³	SUCK	204	866	766	418	唚	唚		吮	i n c t	
979	Loudi	suck	tsin⁴⁴	tsin⁴⁴	ts i n ⁴⁴	ts i n ⁴⁴	SUCK	204	866	766	418	唚	唚		吮	i n c t	
980	Nanchang	suck	tɕit⁵	tɕit⁵	tɕ i t ⁵	tɕ i t ⁵	SUCK	205	869	767	423	哜	哜		吮	i n c t	
981	Meixian	suck	kʰip¹	kʰip¹	kʰ i p ¹	kʰ i p ¹	SUCK	198	863	760	417	吸	吸		吮	i n c t	
982	Guilin	suck	suo⁵⁵	swo⁵⁵	s w o ⁵⁵	s u o ⁵⁵	SUCK	202	864	764	420	嗍	嗍		吮	i m n t	
983	Guangzhou	suck	syn²³	syn²³	s y n ²³	s y n ²³	SUCK	200	865	762	421	吮	吮		吮	i n c t	
984	Guangzhou	suck	kʰɐp⁵	kʰɐp⁵	kʰ ɐ p ⁵	kʰ ɐ p ⁵	SUCK	198	863	760	417	吸	吸		吮	i n c t	
985	Fuzhou	suck	soʔ²⁴*	soʔ²⁴	s o ʔ ²⁴	s o ʔ */²⁴	SUCK	202	864	764	420	嗍	嗍		吮	i n c t	
986	Xiamen	suck	suʔ⁵	suʔ⁵	s u ʔ ⁵	s u ʔ ⁵	SUCK	202	864	764	420	嗍	嗍		吮	i n c t	
987	Beijing	say	ʂuo⁵⁵	ʂwo⁵⁵	ʂ w o ⁵⁵	ʂ u o ⁵⁵	SAY	206	747	653	347	說	說		說	i m n t	
988	Ha_erbin	say	ʂuo⁴⁴	ʂwo⁴⁴	ʂ w o ⁴⁴	ʂ u o ⁴⁴	SAY	206	747	653	347	說	說		說	i m n t	
989	Ha_erbin	say	pai⁴⁴	pai⁴⁴	p ai ⁴⁴	p a i ⁴⁴	SAY	207	751	654	351	掰	掰		說	i n c t	
990	Ha_erbin	say	lau⁴⁴	lau⁴⁴	l au ⁴⁴	l a u ⁴⁴	SAY	208	752	655	352	唠	唠		說	i n N t	
991	Jinan	say	ʂuɤ²¹	ʂwɤ²¹	ʂ w ɤ ²¹	ʂ u ɤ ²¹	SAY	206	747	653	347	說	說		說	i m n t	
