ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	TONE_CLASS	TONE_VALUE	CLASSIFICATION	RATLIFF_FORM
1726	EasternBaheng-217_bamboo-1	Hmongic		BAMBOO	bamboo		EasternBaheng	Baheng, East	pahn1237	p o ³³	1927		0	阳平	³³	Baheng	
1727	Jiongnai-217_bamboo-1	Hmongic		BAMBOO	bamboo		Jiongnai	Jiongnai	jion1236	p l i ⁴⁴	1927		0	阴平	⁴⁴	Jiongnai	
1728	Mien-217_bamboo-1	Mienic		BAMBOO	bamboo		Mien	Mien	iumi1238	ɬ au ⁵³	1927		379	阴上	⁵³	Mien	l̥ au ³
1729	KimMun-217_bamboo-1	Mienic		BAMBOO	bamboo		KimMun	Kim Mun	kimm1245	l au ⁵¹	1927		379	上声.清.气	⁵¹	Kim Mun	l ɔu ³
1730	BiaoMin-217_bamboo-1	Mienic		BAMBOO	bamboo		BiaoMin	Biao Min	biao1254	ɬ au ³⁵	1927		379	阴上	³⁵	Biao Min	ɬ au ³
1731	ZaoMin-217_bamboo-1	Mienic		BAMBOO	bamboo		ZaoMin	Zao Min	dzao1238	l au ²⁴	1927		379	阴上	²⁴	Zao Min	l au ³
1861	EasternLuobuohe-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		EasternLuobuohe	Luobuohe, Eastern	luop1235	q o ⁰/⁵ + ⁿb j a ²⁴	2494		187	? 去	⁰/⁵ ²⁴	Luopohe	ⁿp j a ᶜ/³
1862	WesternLuobuohe-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + ⁿb a ³⁵	2494		187	? 入	⁰/² ³⁵	Luopohe	ⁿp j a ᶜ/³
1863	SouthernGuizhouChuanqiandian-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ⁿp ʐ ə ¹³	2494		187	阴上	¹³	Southern Chuanqiandian	ⁿp ʐ əa ⁶/¹³
1864	WesternXiangxi-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		WesternXiangxi	Xiangxi, West	west2430	m ʐ ɑ ⁴²	2494		187	?	⁴²	Western Xiangxi	m ʐ ɑ ⁶/¹³
1865	NorthernQiandong-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		NorthernQiandong	Qiandong, North	nort2747	z a ¹³	2494		187	阴入	¹³	Northern Qiandong	z a ⁶/¹³
1866	WesternBaheng-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		WesternBaheng	Baheng, West	pahn1237	nʲ ei ⁴⁴	2494		187	阳去	⁴⁴	Baheng	m j e ⁶/¹³
1867	EasternBaheng-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		EasternBaheng	Baheng, East	pahn1237	ⁿp j e ³¹	2494		187	阳去.阳入	³¹	Baheng	m j e ⁶/¹³
1868	Jiongnai-239_bambooshoot-1	Hmongic		BAMBOO SHOOT	bamboo shoot		Jiongnai	Jiongnai	jion1236	ⁿp j a ¹¹	2494		187	阳去	¹¹	Jiongnai	ⁿp j a ⁶/¹³
1869	Mien-239_bambooshoot-1	Mienic		BAMBOO SHOOT	bamboo shoot		Mien	Mien	iumi1238	b ai ²¹	2494		187	阳去	²¹	Mien	b j e ⁶/¹³
1870	KimMun-239_bambooshoot-1	Mienic		BAMBOO SHOOT	bamboo shoot		KimMun	Kim Mun	kimm1245	b j ai ⁴²	2494		187	去声.浊.入声.浊	⁴²	Kim Mun	b j ai ⁶/¹³
1871	BiaoMin-239_bambooshoot-1	Mienic		BAMBOO SHOOT	bamboo shoot		BiaoMin	Biao Min	biao1254	b l ai ⁴²	2494		187	阳上.阳去	⁴²	Biao Min	b l ai ⁶/¹³
1872	ZaoMin-239_bambooshoot-1	Mienic		BAMBOO SHOOT	bamboo shoot		ZaoMin	Zao Min	dzao1238	b e ²²	2494		187	阳去.阳入	²²	Zao Min	b ɛi ⁶/¹³
4061	EasternLuobuohe-727_barkofdog-1	Hmongic		BARKING	bark (of dog)		EasternLuobuohe	Luobuohe, Eastern	luop1235	z əu ³³	1206		0	入	³³	Luopohe	
4062	WesternLuobuohe-727_barkofdog-1	Hmongic		BARKING	bark (of dog)		WesternLuobuohe	Luobuohe, Western	luop1235	ð u ³¹	1206		0	平.上	³¹	Luopohe	
4063	SouthernGuizhouChuanqiandian-727_barkofdog-1	Hmongic		BARKING	bark (of dog)		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ³²	1206		0	?	³²	Southern Chuanqiandian	
4064	WesternXiangxi-727_barkofdog-1	Hmongic		BARKING	bark (of dog)		WesternXiangxi	Xiangxi, West	west2430	tɕ u ⁴²	1206		0	?	⁴²	Western Xiangxi	
